app,t_unix_ts_segment_start,t_unix_ts_segmentend,duration_segment,id_session,id_segment,apk_prev_1,apk_prev_2,apk_prev_3,apk_prev_4,apk_next_1,id_user
com.sec.android.daemonapp,1692219157,1692219157,3,bd72b591-fc94-410a-b6a4-19d26ca263e8,78378a7a-6f5b-40d8-8b85-6c95a5976af6,NA,NA,NA,NA,NA,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.instagram.android,1692219160,1692219183,22422,bd72b591-fc94-410a-b6a4-19d26ca263e8,dc3a07e0-2b5d-4130-ba4c-2c8d5ba54615,com.sec.android.daemonapp,NA,NA,NA,com.zhiliaoapp.musically,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.zhiliaoapp.musically,1692219189,1692219356,167273,bd72b591-fc94-410a-b6a4-19d26ca263e8,6af70743-654f-4b99-ae2c-a75160464994,com.instagram.android,com.sec.android.daemonapp,NA,NA,com.facebook.katana,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.facebook.katana,1692219360,1692219421,61200,bd72b591-fc94-410a-b6a4-19d26ca263e8,2fec0ff8-b2cf-4e94-b465-287030a36ab9,com.zhiliaoapp.musically,com.instagram.android,com.sec.android.daemonapp,NA,com.sec.android.app.sbrowser,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.sec.android.app.sbrowser,1692219424,1692219697,273346,bd72b591-fc94-410a-b6a4-19d26ca263e8,cd7b159e-fe8f-490d-8557-8fa1deb84f74,com.facebook.katana,com.zhiliaoapp.musically,com.instagram.android,com.sec.android.daemonapp,NA,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.zhiliaoapp.musically,1692219881,1692220225,344099,763ce7e6-b4b2-4ef0-9d61-4930e1f45193,94b79edc-8f46-478e-98a1-009455172e2f,NA,NA,NA,NA,NA,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.facebook.katana,1692220420,1692220461,41742,e1ecf1d5-929d-4591-adfe-cfccd2631364,b2959572-55c2-4d43-be4f-822159d97aa4,NA,NA,NA,NA,NA,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.influenster,1692220509,1692220535,25906,058076fa-6e69-41e5-89ea-1b1ea46ffb0d,a03988d6-e63a-43f6-809d-6dd940c44082,NA,NA,NA,NA,com.android.chrome,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.android.chrome,1692220538,1692220545,6529,058076fa-6e69-41e5-89ea-1b1ea46ffb0d,bde03d84-065a-41ae-994a-f8249f338ace,com.influenster,NA,NA,NA,com.sec.android.app.camera,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.sec.android.app.camera,1692220551,1692220551,3,058076fa-6e69-41e5-89ea-1b1ea46ffb0d,cfd4406d-f62d-4f2c-9269-146e6c880ac8,com.android.chrome,com.influenster,NA,NA,com.android.chrome,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.android.chrome,1692220555,1692220564,9633,058076fa-6e69-41e5-89ea-1b1ea46ffb0d,1b7bf68c-8b29-4bb8-8cba-ee44ba86424b,com.sec.android.app.camera,com.android.chrome,com.influenster,NA,com.sec.android.app.camera,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.sec.android.app.camera,1692220568,1692220571,3245,058076fa-6e69-41e5-89ea-1b1ea46ffb0d,693e2eca-010a-4f35-a597-ede7c761c3e7,com.android.chrome,com.sec.android.app.camera,com.android.chrome,com.influenster,com.android.chrome,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.android.chrome,1692220574,1692220590,16136,058076fa-6e69-41e5-89ea-1b1ea46ffb0d,94772554-362a-4397-b16b-b4a846f3e49c,com.sec.android.app.camera,com.android.chrome,com.sec.android.app.camera,com.android.chrome,com.influenster,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
com.influenster,1692220594,1692220606,12895,058076fa-6e69-41e5-89ea-1b1ea46ffb0d,65938b12-d42a-4db4-9f02-2e239b206bf7,com.android.chrome,com.sec.android.app.camera,com.android.chrome,com.sec.android.app.camera,NA,d7d1927d-b5fe-467d-97c7-d3850f3dd8b7
